img_id,anno_image_quality,anno_texts
mcocr_private_145120aahvv.jpg,0.5,"MINIMART ANAN|||Thu Chợ Sủi Phù Thị Gia Lâm Thị|||Ngày: 13/08/2020-17:52|||Tổng tiền|||146,010"
mcocr_private_145120adyuf.jpg,0.5,"VỀN VŨ|||Cấm Phà Quảng Ninh|||ĐƯƠNG3/9/39|||Ngày:|||25/07/2020 16:32.52|||Tổng tiền (VND):|||110,000"
mcocr_private_145120aedhd.jpg,0.5,"|||UK,VINH TU/ M2H|||ĐỊA CHỈ ĐẠI LÝ|||11:15:75|||"
mcocr_private_145120ahyvq.jpg,0.5,"SIEU THI BACH HOA TONG HOP|||Sò 5 Căm Tây - Cầm Phá - AN|||Ngày: 09/08/2020-16:|||10 Tch 020,3781199.Website|||Tổng cộng (đã gồm VAT):|||52,000"
mcocr_private_145120amcnb.jpg,0.5,"VinCommerce|||VM+ QNH Tổ 7, khu Minh Tiến A|||Tổ 7, Khu Minh Tiên Á|||P. Cầm Bình, TP. Cầm Phá, QNH|||Ngày:10/08/2020|||Thời gian:10:09|||"
mcocr_private_145120aorof.jpg,0.5,"VinCommerce|||VM+ QNH Tô 7, Khu Minh Tiên A|||Tố7, Khu Minh Tiên Á|||P. Cấm Bình, TP. Câm Pha, QNH|||Ngày bán:15/08/2020 08:00|||TỔNG TIỀN PHẢI T. TOÁN|||29.000"
mcocr_private_145120apnkj.jpg,0.5,"MINIMART ANAN|||Chợ Sủi Phú Thị Gia Lâm|||Ngày: 11/08/2020-10:26|||Tổng tiền:|||56,000"
mcocr_private_145120avxlw.jpg,0.5,coffe to go|||331 Nguyễn Trọng Tuyển|||13/08/2020 05:47:13ch|||TẠI QUÁN:|||TỔNG CỘNG|||24|||39.000
mcocr_private_145120azonx.jpg,0.5,"VinCommerce|||VM+ QNH Tố7, Khu Minh Tiến Ả|||Tê 7, Khu Minh Tiến A|||P. Cầm Bình, TP. Cấm Phà, QNH|||Ngày bán:14/08/2020 15:48|||TỔNG TIỀN PHẢI T.TOÁN|||104.800"
mcocr_private_145120azxzl.jpg,0.5,NHÀ SÁCH GD-TC CẨM PHẢ|||19 Đc: 212 Đường Trấn Phú-Cẩm Phả|||Thời gian:10:43:17 - 15/08/2020|||- Tổng số thanh toán:|||97.000
mcocr_private_145120bdbex.jpg,0.5,"MINIMART ANAN|||Chợ Sủi Phú Thị Gia Lâm|||Ngày: 11/08/2020-19:39|||Tổng tiền|||229,032"
